sep=;

"storeNumber";"storeName";"planId";"date";"schedule";"itemNumber";"itemDescription";"forecastedQty";"modifiedQty";"productionArea";
"171";"null";"null";"2021-10-17";"7:00AM";"108800704";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108801037";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108801125";"null";"1";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108810689";"null";"14";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108810785";"null";"3";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108810857";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108810929";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108810953";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108810996";"null";"8";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108811041";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108831914";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108836512";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108836539";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108836601";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108836731";"null";"13";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108837179";"null";"0";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108838649";"null";"7";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108865719";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109383447";"null";"8";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109383498";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109540342";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109540385";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109540431";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109540473";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109540529";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109540561";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109781091";"null";"0";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109838093";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109838245";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109838384";"null";"1";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110189465";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110189490";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110189529";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110227311";"null";"1";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110237666";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110243628";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110249131";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110586663";"null";"14";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110737994";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110738057";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110747754";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110747800";"null";"1";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110847886";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110941215";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"111922278";"null";"0";"null";"392";
"171";"null";"null";"2021-10-17";"Cake 8am - 10am";"105658095";"null";"0";"null";"265";
"171";"null";"null";"2021-10-17";"Cake 8am - 10am";"105658175";"null";"0";"null";"265";
"171";"null";"null";"2021-10-17";"Cake 8am - 10am";"105658239";"null";"0";"null";"265";
"171";"null";"null";"2021-10-17";"Cake 8am - 10am";"105658255";"null";"0";"null";"265";
"171";"null";"null";"2021-10-17";"Cake 8am - 10am";"105713197";"null";"0";"null";"265";
"171";"null";"null";"2021-10-17";"Cake 8am - 10am";"106779251";"null";"2";"null";"265";
"171";"null";"null";"2021-10-17";"Cake 8am - 10am";"107733028";"null";"0";"null";"265";
"171";"null";"null";"2021-10-17";"Cake 8am - 10am";"111026473";"null";"0";"null";"265";
"171";"null";"null";"2021-10-17";"8:00AM";"103264421";"null";"4";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"103267824";"null";"3";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"104284116";"null";"25";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"104284132";"null";"5";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"104284271";"null";"4";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"104284280";"null";"4";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"104288230";"null";"1";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"104305589";"null";"30";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"104305600";"null";"5";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"104306047";"null";"5";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"104306063";"null";"5";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"104317301";"null";"2";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"104317379";"null";"2";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"104473179";"null";"4";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"104978599";"null";"28";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"105018426";"null";"3";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"105018451";"null";"3";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"105033651";"null";"4";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"105190120";"null";"4";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"105348994";"null";"1";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"105349022";"null";"1";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"105453541";"null";"1";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"105810149";"null";"28";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"105810261";"null";"30";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"106795201";"null";"6";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"106795825";"null";"2";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"106796035";"null";"2";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"107266431";"null";"5";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"108812617";"null";"9";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"109807369";"null";"2";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"109821259";"null";"2";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"110280816";"null";"5";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"110281069";"null";"5";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"111116284";"null";"10";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"111116313";"null";"24";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"111473505";"null";"2";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"111473521";"null";"2";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"111473548";"null";"3";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"111473564";"null";"8";"null";"390";
"171";"null";"null";"2021-10-17";"8:00AM";"111473581";"null";"2";"null";"390";
"171";"null";"null";"2021-10-17";"Cake 10AM - 2PM";"105628494";"null";"0";"null";"265";
"171";"null";"null";"2021-10-17";"Cake 10AM - 2PM";"105628620";"null";"0";"null";"265";
"171";"null";"null";"2021-10-17";"Cake 10AM - 2PM";"105628646";"null";"0";"null";"265";
