sep=;

"storeNumber";"productionArea";"date";"schedule";"itemNumber";"v1_forecast";
"304";"392";"2021-10-18";"7:00AM";"108800641";"2";
"304";"392";"2021-10-18";"7:00AM";"108810689";"24";
"304";"392";"2021-10-18";"7:00AM";"108810785";"6";
"304";"392";"2021-10-18";"7:00AM";"108810929";"16";
"304";"392";"2021-10-18";"7:00AM";"108810970";"2";
"304";"392";"2021-10-18";"7:00AM";"108831914";"2";
"304";"392";"2021-10-18";"7:00AM";"108836512";"2";
"304";"392";"2021-10-18";"7:00AM";"108836731";"2";
"304";"392";"2021-10-18";"7:00AM";"110227311";"2";
"304";"392";"2021-10-18";"7:00AM";"110227441";"2";
"304";"392";"2021-10-18";"7:00AM";"110237666";"4";
"304";"392";"2021-10-18";"7:00AM";"110243530";"4";
"304";"392";"2021-10-18";"7:00AM";"110243628";"3";
"304";"392";"2021-10-18";"7:00AM";"110249131";"6";
"313";"392";"2021-10-18";"7:00AM";"104341803";"4";
"313";"392";"2021-10-18";"7:00AM";"104343471";"6";
"313";"392";"2021-10-18";"7:00AM";"105901681";"32";
"313";"392";"2021-10-18";"7:00AM";"108799563";"10";
"313";"392";"2021-10-18";"7:00AM";"108799643";"10";
"313";"392";"2021-10-18";"7:00AM";"108799731";"4";
"313";"392";"2021-10-18";"7:00AM";"108799791";"4";
"313";"392";"2021-10-18";"7:00AM";"108800552";"11";
"313";"392";"2021-10-18";"7:00AM";"108800641";"2";
"313";"392";"2021-10-18";"7:00AM";"108800704";"3";
"313";"392";"2021-10-18";"7:00AM";"108810689";"22";
"313";"392";"2021-10-18";"7:00AM";"108810785";"5";
"313";"392";"2021-10-18";"7:00AM";"108810857";"2";
"313";"392";"2021-10-18";"7:00AM";"108810929";"2";
"313";"392";"2021-10-18";"7:00AM";"108810953";"2";
"313";"392";"2021-10-18";"7:00AM";"108831914";"2";
"313";"392";"2021-10-18";"7:00AM";"108836512";"2";
"313";"392";"2021-10-18";"7:00AM";"108836539";"2";
"313";"392";"2021-10-18";"7:00AM";"108836601";"2";
"313";"392";"2021-10-18";"7:00AM";"108836731";"32";
"313";"392";"2021-10-18";"7:00AM";"108838649";"9";
"313";"392";"2021-10-18";"7:00AM";"108865719";"4";
"313";"392";"2021-10-18";"7:00AM";"109383287";"2";
"313";"392";"2021-10-18";"7:00AM";"109383316";"2";
"313";"392";"2021-10-18";"7:00AM";"109838093";"2";
"313";"392";"2021-10-18";"7:00AM";"109838245";"2";
"313";"392";"2021-10-18";"7:00AM";"110189465";"4";
"313";"392";"2021-10-18";"7:00AM";"110189490";"4";
"313";"392";"2021-10-18";"7:00AM";"110227441";"3";
"313";"392";"2021-10-18";"7:00AM";"110243530";"6";
"313";"392";"2021-10-18";"7:00AM";"110243628";"2";
"313";"392";"2021-10-18";"7:00AM";"110249131";"4";
"313";"392";"2021-10-18";"7:00AM";"110586663";"18";
"313";"392";"2021-10-18";"7:00AM";"110737994";"10";
"313";"392";"2021-10-18";"7:00AM";"110738057";"5";
"313";"392";"2021-10-18";"7:00AM";"110747754";"4";
"313";"392";"2021-10-18";"7:00AM";"110747800";"2";
"474";"392";"2021-10-18";"7:00AM";"104341803";"6";
"474";"392";"2021-10-18";"7:00AM";"104343471";"8";
"474";"392";"2021-10-18";"7:00AM";"108800552";"10";
"474";"392";"2021-10-18";"7:00AM";"108800641";"2";
"474";"392";"2021-10-18";"7:00AM";"108800704";"2";
"474";"392";"2021-10-18";"7:00AM";"108801037";"4";
"474";"392";"2021-10-18";"7:00AM";"108801125";"2";
"474";"392";"2021-10-18";"7:00AM";"108810689";"10";
"474";"392";"2021-10-18";"7:00AM";"108810785";"2";
"474";"392";"2021-10-18";"7:00AM";"108810857";"2";
"474";"392";"2021-10-18";"7:00AM";"108810929";"24";
"474";"392";"2021-10-18";"7:00AM";"108810970";"3";
"474";"392";"2021-10-18";"7:00AM";"108831762";"4";
"474";"392";"2021-10-18";"7:00AM";"108831834";"2";
"474";"392";"2021-10-18";"7:00AM";"108831914";"3";
"474";"392";"2021-10-18";"7:00AM";"108836512";"3";
"474";"392";"2021-10-18";"7:00AM";"108836539";"2";
"474";"392";"2021-10-18";"7:00AM";"108836601";"2";
"474";"392";"2021-10-18";"7:00AM";"108865719";"4";
"474";"392";"2021-10-18";"7:00AM";"109383447";"8";
"474";"392";"2021-10-18";"7:00AM";"109383498";"2";
"474";"392";"2021-10-18";"7:00AM";"109838245";"2";
"474";"392";"2021-10-18";"7:00AM";"110189465";"4";
"474";"392";"2021-10-18";"7:00AM";"110227311";"2";
"474";"392";"2021-10-18";"7:00AM";"110237666";"4";
"474";"392";"2021-10-18";"7:00AM";"110243628";"3";
"474";"392";"2021-10-18";"7:00AM";"110249131";"6";
"8";"390";"2021-10-18";"8:00AM";"103264421";"2";
"8";"390";"2021-10-18";"8:00AM";"103267824";"2";
"8";"390";"2021-10-18";"8:00AM";"104284116";"25";
"8";"390";"2021-10-18";"8:00AM";"104284132";"5";
"8";"390";"2021-10-18";"8:00AM";"104284271";"4";
"8";"390";"2021-10-18";"8:00AM";"104284280";"4";
"8";"390";"2021-10-18";"8:00AM";"104288230";"2";
"8";"390";"2021-10-18";"8:00AM";"104305589";"30";
"8";"390";"2021-10-18";"8:00AM";"104305600";"5";
"8";"390";"2021-10-18";"8:00AM";"104306047";"5";
"8";"390";"2021-10-18";"8:00AM";"104306063";"5";
"8";"390";"2021-10-18";"8:00AM";"104317301";"2";
"8";"390";"2021-10-18";"8:00AM";"104317379";"2";
